State Fips Code,County Fips Code,Name,Housing Unit Estimate,Rodent Estimate,90% CI Lower Bound,90% CI Upper Bound
01,001,"Autauga County, AL","23,896"," 	2,331 "," 	1,069 "," 	3,593 "
01,003,"Baldwin County, AL","119,412"," 	8,328 "," 	3,640 "," 	13,016 "
01,005,"Barbour County, AL","12,080"," 	1,783 ", 	812 ," 	2,754 "
01,007,"Bibb County, AL","9,261"," 	1,679 ", 	734 ," 	2,624 "
01,009,"Blount County, AL","24,517"," 	4,615 "," 	2,017 "," 	7,214 "
01,011,"Bullock County, AL","4,587", 	640 , 	280 ," 	1,001 "
01,013,"Butler County, AL","10,147"," 	1,568 ", 	685 ," 	2,451 "
01,015,"Calhoun County, AL","53,796"," 	5,958 "," 	2,715 "," 	9,201 "
01,017,"Chambers County, AL","17,009"," 	2,166 ", 	947 ," 	3,385 "
01,019,"Cherokee County, AL","16,715"," 	2,345 "," 	1,025 "," 	3,665 "
01,021,"Chilton County, AL","20,056"," 	3,673 "," 	1,690 "," 	5,655 "
01,023,"Choctaw County, AL","7,413"," 	1,056 ", 	462 ," 	1,651 "
01,025,"Clarke County, AL","12,857"," 	1,583 ", 	692 ," 	2,474 "
01,027,"Clay County, AL","6,833"," 	1,729 ", 	755 ," 	2,702 "
01,029,"Cleburne County, AL","6,891"," 	1,424 ", 	622 ," 	2,225 "
01,031,"Coffee County, AL","23,403"," 	2,570 "," 	1,123 "," 	4,016 "
01,033,"Colbert County, AL","26,861"," 	3,644 "," 	1,671 "," 	5,618 "
01,035,"Conecuh County, AL","7,223", 	882 , 	385 ," 	1,378 "
01,037,"Coosa County, AL","6,635"," 	1,150 ", 	503 ," 	1,797 "
01,039,"Covington County, AL","19,068"," 	2,592 "," 	1,133 "," 	4,052 "
01,041,"Crenshaw County, AL","6,862"," 	1,254 ", 	564 ," 	1,944 "
01,043,"Cullman County, AL","38,252"," 	5,508 "," 	2,407 "," 	8,609 "
01,045,"Dale County, AL","23,201"," 	2,335 "," 	1,020 "," 	3,649 "
01,047,"Dallas County, AL","20,460"," 	2,423 "," 	1,059 "," 	3,788 "
01,049,"DeKalb County, AL","31,593"," 	6,170 "," 	2,697 "," 	9,643 "
01,051,"Elmore County, AL","34,475"," 	3,482 "," 	1,596 "," 	5,367 "
01,053,"Escambia County, AL","16,645"," 	1,774 ", 	775 ," 	2,772 "
01,055,"Etowah County, AL","47,855"," 	6,088 "," 	2,661 "," 	9,515 "
01,057,"Fayette County, AL","8,540"," 	1,696 ", 	741 ," 	2,650 "
01,059,"Franklin County, AL","14,126"," 	2,100 ", 	918 ," 	3,283 "
01,061,"Geneva County, AL","12,955"," 	2,035 ", 	889 ," 	3,181 "
01,063,"Greene County, AL","5,177", 	912 , 	399 ," 	1,426 "
01,065,"Hale County, AL","7,880"," 	1,315 ", 	575 ," 	2,055 "
01,067,"Henry County, AL","9,255"," 	1,552 ", 	696 ," 	2,408 "
01,069,"Houston County, AL","48,134"," 	4,434 "," 	1,938 "," 	6,931 "
01,071,"Jackson County, AL","25,194"," 	4,122 "," 	1,802 "," 	6,443 "
01,073,"Jefferson County, AL","309,697"," 	24,358 "," 	13,131 "," 	35,585 "
01,075,"Lamar County, AL","7,431"," 	1,706 ", 	746 ," 	2,667 "
01,077,"Lauderdale County, AL","45,611"," 	5,673 "," 	2,605 "," 	8,742 "
01,079,"Lawrence County, AL","15,363"," 	2,804 "," 	1,225 "," 	4,382 "
01,081,"Lee County, AL","71,225"," 	5,344 "," 	2,335 "," 	8,352 "
01,083,"Limestone County, AL","36,526"," 	4,976 "," 	2,175 "," 	7,777 "
01,085,"Lowndes County, AL","5,274", 	856 , 	374 ," 	1,338 "
01,087,"Macon County, AL","10,321"," 	1,235 ", 	540 ," 	1,931 "
01,089,"Madison County, AL","166,516"," 	11,127 "," 	5,102 "," 	17,152 "
01,091,"Marengo County, AL","10,397"," 	1,584 ", 	692 ," 	2,476 "
01,093,"Marion County, AL","14,806"," 	2,295 "," 	1,003 "," 	3,586 "
01,095,"Marshall County, AL","40,791"," 	5,721 "," 	2,670 "," 	8,772 "
01,097,"Mobile County, AL","185,035"," 	14,548 "," 	6,626 "," 	22,470 "
01,099,"Monroe County, AL","11,471"," 	1,579 ", 	690 ," 	2,468 "
01,101,"Montgomery County, AL","105,317"," 	7,642 "," 	3,506 "," 	11,778 "
01,103,"Morgan County, AL","52,398"," 	5,622 "," 	2,457 "," 	8,786 "
01,105,"Perry County, AL","4,750", 	948 , 	414 ," 	1,481 "
01,107,"Pickens County, AL","9,647"," 	1,909 ", 	855 ," 	2,964 "
01,109,"Pike County, AL","16,273"," 	1,768 ", 	773 ," 	2,763 "
01,111,"Randolph County, AL","12,157"," 	1,815 ", 	793 ," 	2,837 "
01,113,"Russell County, AL","28,118"," 	2,804 "," 	1,225 "," 	4,382 "
01,115,"St. Clair County, AL","37,258"," 	4,722 "," 	2,064 "," 	7,380 "
01,117,"Shelby County, AL","89,133"," 	6,312 "," 	3,191 "," 	9,434 "
01,119,"Sumter County, AL","6,929"," 	1,190 ", 	520 ," 	1,860 "
01,121,"Talladega County, AL","38,092"," 	5,016 "," 	2,192 "," 	7,840 "
01,123,"Tallapoosa County, AL","22,664"," 	3,192 "," 	1,395 "," 	4,989 "
01,125,"Tuscaloosa County, AL","92,792"," 	7,504 "," 	3,432 "," 	11,575 "
01,127,"Walker County, AL","31,352"," 	6,324 "," 	3,260 "," 	9,389 "
01,129,"Washington County, AL","8,634"," 	1,466 ", 	641 ," 	2,291 "
01,131,"Wilcox County, AL","5,840", 	876 , 	383 ," 	1,369 "
01,133,"Winston County, AL","13,765"," 	1,994 ", 	872 ," 	3,117 "
02,013,"Aleutians East Borough, AK",755, 	219 , 	96 , 	342 
02,016,"Aleutians West Census Area, AK","1,966", 	487 , 	213 , 	761 
02,020,"Anchorage Borough, AK","119,276"," 	9,586 "," 	8,767 "," 	10,406 "
02,050,"Bethel Census Area, AK","6,034"," 	1,117 ", 	488 ," 	1,746 "
02,060,"Bristol Bay Borough, AK",977, 	125 , 	55 , 	195 
02,068,"Denali Borough, AK","1,765", 	159 , 	70 , 	249 
02,070,"Dillingham Census Area, AK","2,456", 	536 , 	234 , 	838 
