ID,Name,State,temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,,
AL-001,Autauga County,Alabama,65,1.4,96,63.6,,
AL-003,Baldwin County,Alabama,67.7,1.3,96,66.4,,
AL-005,Barbour County,Alabama,65,0.5,76,64.5,,
AL-007,Bibb County,Alabama,63.7,1.2,93,62.5,,
AL-009,Blount County,Alabama,62.7,2.4,103,60.3,,
AL-011,Bullock County,Alabama,64.6,0.8,80,63.8,,
AL-013,Butler County,Alabama,65,0.6,79,64.4,,
AL-015,Calhoun County,Alabama,62.7,2,100,60.7,,
AL-017,Chambers County,Alabama,63.4,2.1,105,61.3,,
AL-019,Cherokee County,Alabama,62.4,2,98,60.4,,
AL-021,Chilton County,Alabama,63.6,1.2,94,62.4,,
AL-023,Choctaw County,Alabama,66.3,1.9,104,64.4,,
AL-025,Clarke County,Alabama,65.6,0.9,84,64.7,,
AL-027,Clay County,Alabama,62.1,1.5,96,60.6,,
AL-029,Cleburne County,Alabama,62.2,2.5,107,59.7,,
AL-031,Coffee County,Alabama,65.7,0.6,80,65.1,,
AL-033,Colbert County,Alabama,61.9,2.1,97,59.8,,
AL-035,Conecuh County,Alabama,65.7,0.6,79,65.1,,
AL-037,Coosa County,Alabama,63.1,1.1,91,62,,
AL-039,Covington County,Alabama,65.7,0.4,75,65.3,,
AL-041,Crenshaw County,Alabama,64.8,0.5,80,64.3,,
AL-043,Cullman County,Alabama,62.3,2.2,97,60.1,,
AL-045,Dale County,Alabama,65.9,0.5,78,65.4,,
AL-047,Dallas County,Alabama,65.5,1.5,98,64,,
AL-049,DeKalb County,Alabama,61.1,1.9,97,59.2,,
AL-051,Elmore County,Alabama,64.6,1.3,95,63.3,,
AL-053,Escambia County,Alabama,66.2,0.5,75,65.7,,
AL-055,Etowah County,Alabama,62.5,1.9,95,60.6,,
AL-057,Fayette County,Alabama,62,0.3,70,61.7,,
AL-059,Franklin County,Alabama,60.9,1.1,88,59.8,,
AL-061,Geneva County,Alabama,66.5,0.6,79,65.9,,
AL-063,Greene County,Alabama,65.2,1.6,95,63.6,,
AL-065,Hale County,Alabama,64.8,1.4,95,63.4,,
AL-067,Henry County,Alabama,66,0.6,79,65.4,,
AL-069,Houston County,Alabama,66.9,0.6,80,66.3,,
AL-071,Jackson County,Alabama,61.4,2,98,59.4,,
AL-073,Jefferson County,Alabama,63.4,1.9,98,61.5,,
AL-075,Lamar County,Alabama,62.6,0.8,82,61.8,,
AL-077,Lauderdale County,Alabama,61.8,2.3,101,59.5,,
AL-079,Lawrence County,Alabama,61.5,1.6,91,59.9,,
AL-081,Lee County,Alabama,64.4,2,100,62.4,,
AL-083,Limestone County,Alabama,62,2.2,98,59.8,,
AL-085,Lowndes County,Alabama,65.6,1.2,91,64.4,,
AL-087,Macon County,Alabama,64.9,1.4,95,63.5,,
AL-089,Madison County,Alabama,62.1,2.3,98,59.8,,
AL-091,Marengo County,Alabama,65.7,1.6,99,64.1,,
AL-093,Marion County,Alabama,60.8,0.3,75,60.5,,
AL-095,Marshall County,Alabama,62.5,2.4,105,60.1,,
AL-097,Mobile County,Alabama,68.1,1.9,102,66.2,,
AL-099,Monroe County,Alabama,65.6,0.7,77,64.9,,
AL-101,Montgomery County,Alabama,65.2,1.1,86,64.1,,
AL-103,Morgan County,Alabama,62.4,2.3,99,60.1,,
AL-105,Perry County,Alabama,64.5,1.2,92,63.3,,
AL-107,Pickens County,Alabama,64.3,1.5,92,62.8,,
AL-109,Pike County,Alabama,64.8,0.4,76,64.4,,
AL-111,Randolph County,Alabama,62.7,2.5,110,60.2,,
AL-113,Russell County,Alabama,65.3,1.6,98,63.7,,
AL-115,St. Clair County,Alabama,62.8,2,97,60.8,,
AL-117,Shelby County,Alabama,63.3,1.6,95,61.7,,
